csv_id,csv_name,csv_address,place_id,place_name,place_kind,name_score,addr_score,verdict,comment
forbes-high-02,Интеграция XXI век,"Москва, улица Маршала Катукова, 16к1",school-школа-интеграция-xxi-век,Школа «Интеграция XXI век»,blue,0.857,1.0,match,"combined=1.03, dist=0m"
forbes-high-04,Ломоносовская школа,"Москва, Аминьевское шоссе, 18к4",school-ломоносовская-аминьевское,Ломоносовская школа — основная и старшая,green,0.72,1.0,match,"combined=0.95, dist=0m"
forbes-high-10,Павловская гимназия,"Московская область, муниципальный округ Истра, деревня Веледниково, Живописная улица, 136",school-павловская-гимназия,Павловская гимназия,green,1.0,0.72,match,"combined=1.04, dist=0m"
forbes-high-12,Президент,"Московская область, Одинцовский городской округ, деревня Жуковка, Ильинский подъезд, 2с1–4",school-школа-президент,Школа «Президент»,green,0.75,0.742,match,"combined=0.89, dist=0m"
forbes-high-15,Хорошкола,"Москва, улица Маршала Тухачевского, 45к2",kindergarten-хорошкола,Детский сад Хорошколы,green,0.533,1.0,match,"combined=0.83, dist=0m"
forbes-high-17,Cambridge International School,"Москва, Фестивальная улица, 7а",school-cambridge-international-school,Cambridge International School,green,1.0,1.0,match,"combined=1.12, dist=0m"
forbes-high-20,Wunderpark International School,"Московская область, муниципальный округ Истра, деревня Борзые, 1",school-wunderpark-international-school,Wunderpark International School,green,1.0,0.72,match,"combined=1.04, dist=0m"
forbes-mid-05,Европейская гимназия,"Москва, улица Сокольнический Вал, 28",school-европейская-гимназия,Европейская гимназия,green,1.0,1.0,match,"combined=1.12, dist=0m"
forbes-mid-06,Золотое сечение,"Москва, Ленинский проспект, 13а (5–11-й класс)",school-школа-золотое-сечение,Школа «Золотое сечение»,green,0.833,0.72,match,"combined=0.93, dist=0m"
forbes-mid-17,Новая школа,"Москва, Мосфильмовская улица, 88к5",school-новая-школа,Новая школа,green,1.0,1.0,match,"combined=1.12, dist=0m"
forbes-mid-23,Школа ЦПМ,"Москва, Олимпийский проспект, 11с1",school-школа-центра-педагогического-мастерства-цпм,Школа Центра педагогического мастерства (ЦПМ),red,0.72,1.0,match,"combined=0.95, dist=0m"
mathex-1533-lit,Школа 1533 ЛИТ,"ул. Кржижановского, 4А, Москва",school-lit-1533-krzhizhanovskogo,Лицей №1533 (информационных технологий) — здание 3–4 классов,red,0.7,1.0,match,"combined=0.93, dist=0m"
mathex-1580-2,Школа 1580,"Балаклавский просп., 6А, Москва",school-бауманская-инженерная-школа-1580,Бауманская инженерная школа №1580,red,0.72,1.0,match,"combined=0.95, dist=0m"
mathex-intellektual,Школа Интеллектуал,"Кременчугская ул., 11, стр. 4, Москва",school-школа-интеллектуал,Школа «Интеллектуал»,red,1.0,1.0,match,"combined=1.12, dist=0m"
mathex-kurchatov-school,Курчатовская школа,"улица Паршина, 39",school-курчатовская-школа,Курчатовская школа,red,1.0,1.0,match,"combined=1.12, dist=0m"
mathex-letovo,Летово,"Москва, Новомосковский административный округ, район Коммунарка, Зимёнковская улица, 3",school-летово-пансион,Школа-пансион «Летово» — основная школа,red,0.72,0.72,match,"combined=0.86, dist=28m"
mathex-school-1514,Школа 1514,"улица Академика Челомея, 6А",school-школа-1514,Школа №1514,red,0.87,1.0,match,"combined=1.04, dist=0m"
mathex-shkola-1535,Школа 1535,"Усачёва ул., 50, Москва",school-школа-1535,Школа №1535,red,0.87,1.0,match,"combined=1.04, dist=0m"
