lat;lon;description;label;number
55.681453;37.560538;"Школа 1533 ЛИТ

ул. Кржижановского, 4А, Москва
Сайт: <a href=""https://www.lit.msu.ru/"">www.lit.msu.ru</a>
<a href=""https://mathex.ru/shkoly/1533-lit/"">Страница на Mathex</a>";1533 ЛИТ;1
55.641534;37.613072;"Школа 1580

Балаклавский просп., 6А, Москва
Сайт: <a href=""https://sch1580.mskobr.ru/"">sch1580.mskobr.ru</a>
<a href=""https://mathex.ru/shkoly/1580-2/"">Страница на Mathex</a>";1580;2
55.718172;37.464464;"Школа Интеллектуал

Кременчугская ул., 11, стр. 4, Москва
Сайт: <a href=""https://sch-int.ru/"">sch-int.ru</a>
<a href=""https://mathex.ru/shkoly/intellektual/"">Страница на Mathex</a>";Интел.;3
55.557541;37.422674;"Летово

Москва, Новомосковский административный округ, район Коммунарка, Зимёнковская улица, 3
Сайт: <a href=""https://letovo.ru/"">letovo.ru</a>
<a href=""https://mathex.ru/shkoly/letovo/"">Страница на Mathex</a>";Летово;4
55.725808;37.564940;"Школа 1535

Усачёва ул., 50, Москва
Сайт: <a href=""https://sch1535.mskobr.ru/"">sch1535.mskobr.ru</a>
<a href=""https://mathex.ru/shkoly/shkola-1535/"">Страница на Mathex</a>";1535;5
55.656057;37.486176;"Школа 1543

ул. 26 Бакинских Комиссаров, 3, корп. 5, Москва
Сайт: <a href=""http://www.1543.ru/"">www.1543.ru</a>
<a href=""https://mathex.ru/shkoly/shkola-1543/"">Страница на Mathex</a>";1543;6
55.759653;37.614734;"Школа 179

ул. Большая Дмитровка, 5/6с7, Москва
Сайт: <a href=""https://www.179.ru/"">www.179.ru</a>
<a href=""https://mathex.ru/shkoly/skola-179/"">Страница на Mathex</a>";179;7
55.544754;37.532780;"Школа 2007

ул. Горчакова, 9, корп. 1, Москва
Сайт: <a href=""http://www.fmsh2007.ru/"">www.fmsh2007.ru</a>
<a href=""https://mathex.ru/shkoly/skola-2007/"">Страница на Mathex</a>";2007;8
55.748620;37.604987;"Школа 57

Малый Знаменский пер., 7/10с5, Москва
Сайт: <a href=""https://www.sch57.ru/"">www.sch57.ru</a>
<a href=""https://mathex.ru/shkoly/skola-57/"">Страница на Mathex</a>";57;9
55.789492;37.621875;"ЦПМ

Олимпийский просп., 11, стр. 1, Москва
Сайт: <a href=""https://xn----7sb3aehik9cm.xn--p1ai/"">xn----7sb3aehik9cm.xn--p1ai</a>
<a href=""https://mathex.ru/shkoly/skola-cpm/"">Страница на Mathex</a>";ЦПМ;10
55.718922;37.605149;"Лицей Воробьевы Горы

Донская ул., 37, Москва
Сайт: <a href=""https://vorobyevy-gory.mskobr.ru/"">vorobyevy-gory.mskobr.ru</a>
<a href=""https://mathex.ru/shkoly/vorobgory/"">Страница на Mathex</a>";Воробёвы;11
55.697985;37.556442;"Лицей Вторая школа

ул. Фотиевой, 18, Москва
Сайт: <a href=""https://sch2.ru/"">sch2.ru</a>
<a href=""https://mathex.ru/shkoly/vtoraya-shkola/"">Страница на Mathex</a>";Л2Ш;12
55.694814;37.524875;"Университетская гимназия МГУ

Ломоносовский проспект, 27, корп. 7
<a href=""https://mathex.ru/shkoly/drugie-top-school/"">Страница на Mathex</a>";УГ МГУ;13
55.874521;37.642887;"Школа 1568 имени Пабло Неруды

проспект Шокальского, 7, корп. 2
Сайт: <a href=""https://sch1568.mskobr.ru/"">sch1568.mskobr.ru</a>
<a href=""https://mathex.ru/shkoly/drugie-top-school/"">Страница на Mathex</a>";1568;14
55.684726;37.574130;"Школа 1534

улица Кедрова, 11А
Сайт: <a href=""https://sch1534.mskobr.ru/"">sch1534.mskobr.ru</a>
<a href=""https://mathex.ru/shkoly/drugie-top-school/"">Страница на Mathex</a>";1534;15
55.663141;37.532691;"Школа 1514

улица Академика Челомея, 6А
Сайт: <a href=""https://sch1514.mskobr.ru/"">sch1514.mskobr.ru</a>
<a href=""https://mathex.ru/shkoly/drugie-top-school/"">Страница на Mathex</a>";1514;16
55.787923;37.450055;"Курчатовская школа

улица Паршина, 39
Сайт: <a href=""https://kurchat.mskobr.ru/"">kurchat.mskobr.ru</a>
<a href=""https://mathex.ru/shkoly/drugie-top-school/"">Страница на Mathex</a>";Курчат.;17
55.773849;37.603541;"Силаэдр

Долгоруковская улица, 7
Сайт: <a href=""https://silaedr.ru/"">silaedr.ru</a>
<a href=""https://mathex.ru/shkoly/drugie-top-school/"">Страница на Mathex</a>";Силаэдр;18
55.007680;37.349650;"Абсолют

Московская область, городской округ Серпухов, деревня Райсеменовское, 12а
Сайт: <a href=""https://absolut-school.ru/"">absolut-school.ru</a>";Абсолют;19
55.909519;37.724095;"Вектор

Московская область, Мытищи, Летная улица, 21б
320 000 — 540 000 руб/год
Сайт: <a href=""https://vektor-school.ru/"">vektor-school.ru</a>";Вектор;20
55.648199;37.402291;"Колледж XXI века

Москва, Солнцевский проспект, 7к3
445 000 — 560 000 руб/год
Сайт: <a href=""https://xxi-college.ru/"">xxi-college.ru</a>";Колл.XXI;21
55.417133;37.538997;"Лицей ЭКУС

Московская область, Подольск, Народная улица, 12
265 500 — 294 300 руб/год
Сайт: <a href=""https://ecus.ru/"">ecus.ru</a>";ЭКУС;22
55.892905;37.590093;"Лотос

Москва, Шенкурский проезд, 5
540 000 — 579 500 руб/год
Сайт: <a href=""https://lotos-school.ru/"">lotos-school.ru</a>";Лотос;23
55.549872;37.706272;"Русская школа

Московская область, г. Видное, ул. Советская, дом 16
310 000 — 450 000 руб/год
Сайт: <a href=""https://russchool.ru/"">russchool.ru</a>";Рус.шк.;24
55.683884;37.676798;"Самсон

Москва, Кленовый бульвар, 7к2
405 000 — 540 000 руб/год
Сайт: <a href=""https://samson-edu.ru/"">samson-edu.ru</a>";Самсон;25
55.631956;37.477202;"Солнечный ветер

Москва, улица Академика Варги, 2а
522 000 руб/год
Сайт: <a href=""https://solnechnyveter.ru/"">solnechnyveter.ru</a>";С.Ветер;26
55.616681;37.588341;"Центр образования «Столичный»

Москва, Чертановская улица, 34а
378 000 — 710 500 руб/год
Сайт: <a href=""https://stolichny-school.ru/"">stolichny-school.ru</a>";Столичн.;27
55.805245;37.590749;"Академическая гимназия

Москва, Новодмитровская улица, 2с9
1 000 000 руб/год
Сайт: <a href=""https://academgym.ru/"">academgym.ru</a>";Акад.гим.;28
55.621206;37.156359;"Гимназия Святителя Василия Великого

Московская область, Одинцовский городской округ, деревня Зайцево, Кокошкинское шоссе, 1
909 000 — 1 116 000 руб/год
Сайт: <a href=""https://vasiliyvelikogo.ru/"">vasiliyvelikogo.ru</a>";ГСВВ;29
55.680661;37.277371;"Горчаковский лицей МГИМО

Московская область, Одинцово, Новоcпортивная улица, 3
900 000 — 1 050 000 руб/год
Сайт: <a href=""https://gorchakov.msk.ru/"">gorchakov.msk.ru</a>";МГИМО;30
55.588923;38.129792;"Древо познаний

Московская область, Жуковский, улица Калугина, 9/1
605 000 руб/год
Сайт: <a href=""https://drevoznanij.ru/"">drevoznanij.ru</a>";Древо;31
55.791071;37.667878;"Европейская гимназия

Москва, улица Сокольнический Вал, 28
775 000 — 1 143 000 руб/год
Сайт: <a href=""https://eurogym.ru/"">eurogym.ru</a>";Евр.гим.;32
55.721939;37.603577;"Золотое сечение

Москва, Ленинский проспект, 13а (5–11-й класс)
1 120 000 — 1 300 000 руб/год
Сайт: <a href=""https://zolsech.ru/"">zolsech.ru</a>";Зол.сеч.;33
55.677387;37.743085;"Карьера

Москва, Краснодарская улица, 11
650 000 — 730 000 руб/год
Сайт: <a href=""https://kariera-school.ru/"">kariera-school.ru</a>";Карьера;34
55.806510;37.775092;"Колибри

Москва, Никитинская улица, 24а
700 000 — 720 000 руб/год
Сайт: <a href=""https://kolibri-school.ru/"">kolibri-school.ru</a>";Колибри;35
55.898922;37.375674;"Лидер

Москва, Юровская улица, 41
525 000 — 740 000 руб/год
Сайт: <a href=""https://liderschool.ru/"">liderschool.ru</a>";Лидер;36
55.728140;37.333938;"Лидеры

Московская область, Одинцовский городской округ, село Ромашково, Никольская улица, 16к2
1 140 000 руб/год
Сайт: <a href=""https://lidery-msk.ru/"">lidery-msk.ru</a>";Лидеры;37
55.808113;37.557502;"Лучик

Москва, улица Вучетича, 7а
495 000 — 841 000 руб/год
Сайт: <a href=""https://luchik-school.ru/"">luchik-school.ru</a>";Лучик;38
55.678032;37.527157;"Москвич

Москва, Ленинский проспект, 86б
680 000 руб/год
Сайт: <a href=""https://moskvich-school.ru/"">moskvich-school.ru</a>";Москвич;39
55.773449;37.642752;"Московский лицей «Ступени»

Москва, Скорняжный переулок, 3с2
798 300 руб/год
Сайт: <a href=""https://stupeni.ru/"">stupeni.ru</a>";Ступени;40
55.806034;37.503747;"Муми-Тролль

Москва, Волоколамское шоссе, 1а
С 753 000 — 890 000 руб/год
Сайт: <a href=""https://mumitroll.ru/"">mumitroll.ru</a>";Муми;41
55.636031;37.722163;"Наследник

Москва, улица Борисовские Пруды, 19к1
960 400 — 1 395 000 руб/год
Сайт: <a href=""https://naslednik.ru/"">naslednik.ru</a>";Наследн.;42
55.423662;37.295733;"Ника

Москва, поселение Краснопахорское, село Красное, 3а
942 000 — 991 300 руб/год
Сайт: <a href=""https://nika-school.ru/"">nika-school.ru</a>";Ника;43
55.704844;37.490308;"Новая школа

Москва, Мосфильмовская улица, 88к5
1 070 000 руб/год
Сайт: <a href=""https://newschool.ru/"">newschool.ru</a>";Новая;44
55.757004;37.316933;"Областная гимназия имени Е. М. Примакова

Московская область, Одинцовский городской округ, деревня Раздоры, Утренняя улица, 1
990 000 руб/год
Сайт: <a href=""https://gymnasium-primakova.ru/"">gymnasium-primakova.ru</a>";Примаков.;45
55.802381;37.066752;"Областной технолицей имени В. И. Долгих

Московская область, муниципальный округ Истра, село Павловская Слобода, Академическая улица, 1
990 000 руб/год
Сайт: <a href=""https://tehnolicey.ru/"">tehnolicey.ru</a>";Долгих;46
55.747439;37.411957;"Олимп-Плюс

Москва, Рублевское шоссе, 121
923 000 — 1 073 000 руб/год
Сайт: <a href=""https://olimp-plus.ru/"">olimp-plus.ru</a>";Олимп+;47
55.682052;37.541395;"СААШ «Марина»

Москва, улица Панферова, 6к2
600 000 руб/год
Сайт: <a href=""https://saash-marina.ru/"">saash-marina.ru</a>";Марина;48
55.673367;37.562694;"Феникс

Москва, Профсоюзная улица, 27к3
342 000 — 825 000 руб/год
Сайт: <a href=""https://feniks-school.ru/"">feniks-school.ru</a>";Феникс;49
55.789492;37.621875;"Школа ЦПМ

Москва, Олимпийский проспект, 11с1
577 800 — 652 500 руб/год
Сайт: <a href=""https://sckool-cpm.ru/"">sckool-cpm.ru</a>";ЦПМ;50
55.672174;37.574139;"Британская международная школа

Москва, Нахимовский проспект, 35а
1 270 000 — 3 476 000 руб/год
Сайт: <a href=""https://bismoscow.com/"">bismoscow.com</a>";Brit.Int.;51
55.807193;37.405705;"Интеграция XXI век

Москва, улица Маршала Катукова, 16к1
950 000 — 1 985 000 руб/год
Сайт: <a href=""https://integracia21.ru/"">integracia21.ru</a>";Интегр.;52
55.714470;37.456001;"Ломоносовская школа

Москва, Аминьевское шоссе, 18к4
1 845 000 руб/год
Сайт: <a href=""https://lomonosov-school.ru/"">lomonosov-school.ru</a>";Ломонос.;53
55.788738;37.009673;"Ломоносовская школа «Интек»

Московская область, муниципальный округ Истра, деревня Воронино, клубный поселок «Монолит», Клубная аллея, 2
1 845 000 руб/год
Сайт: <a href=""https://lomonosov-intek.ru/"">lomonosov-intek.ru</a>";Интек;54
56.085008;37.636060;"Ломоносовская школа — Зеленый мыс

Московская область, городской округ Мытищи, деревня Подольниха, Клубная улица, 2с1
1 485 000 руб/год
Сайт: <a href=""https://lomonosov-zm.ru/"">lomonosov-zm.ru</a>";Зел.мыс;55
55.691597;37.351393;"Международная гимназия «Сколково»

Москва, территория инновационного центра «Сколково», улица Зворыкина, 4
1 643 000 руб/год
Сайт: <a href=""https://gymnasium.skolkovo.ru/"">gymnasium.skolkovo.ru</a>";Сколково;56
55.713791;37.525261;"Наши традиции

Москва, Мичуринский проспект, 6к4
1 320 000 руб/год
Сайт: <a href=""https://nashi-tradicii.ru/"">nashi-tradicii.ru</a>";Традиции;57
