id,slug,name,title_raw,description,mathex_url,source,site,yandex_org_ids,yandex_links,coords_from_url,yandex_address,yandex_full_address,yandex_short_title,yandex_coords,yandex_composite_address,mathex_main_text,segment,price,year,all_addresses,forbes_url,description_short,description_values
mathex-1533-lit,1533-lit,Школа 1533 ЛИТ,1533 ЛИТ » Лучшие школы Москвы. © Mathex,Лицей 1533 ЛИТ - одна из лучших школ Москвы с акцентом на обучение информационным технологиям. Особенности школы. Поступление в 1533 ЛИТ. ©Mathex,https://mathex.ru/shkoly/1533-lit/,mathex,https://www.lit.msu.ru/,"[""1043679151""]","[""https://yandex.ru/maps/213/moscow/?ll=37.560069,55.685223&mode=search&oid=1043679151&ol=biz&sctx=ZAAAAAgBEAAaKAoSCRR5knTNUD5AEfTF3osv+E1AEhIJS2z9/3+N7z8RhbXUKeYD0j8iBQABAgQFKAowADivlfPsiK3hmdoBQOytB0gBVc3MzD5YAGoCcnVwAJ0BzcxMPaABAKgBAL0BI60PLMIBFaT+pIwE2tX32ASvj9XxA4eH5YzdAg==&sll=37.560069,55.685223&sspn=0.093408,0.030023&text=%D1%88%D0%BA%D0%BE%D0%BB%D0%B0%201533&z=14.4%20_blank"", ""https://yandex.ru/maps/213/moscow/?ll=37.560069,55.685223&mode=search&oid=1043679151&ol=biz&sctx=ZAAAAAgBEAAaKAoSCRR5knTNUD5AEfTF3osv+E1AEhIJS2z9/3+N7z8RhbXUKeYD0j8iBQABAgQFKAowADivlfPsiK3hmdoBQOytB0gBVc3MzD5YAGoCcnVwAJ0BzcxMPaABAKgBAL0BI60PLMIBFaT+pIwE2tX32ASvj9XxA4eH5YzdAg==&sll=37.560069,55.685223&sspn=0.093408,0.030023&text=%D1%88%D0%BA%D0%BE%D0%BB%D0%B0%201533&z=14.4%20_blank""]","[{""lon"": 37.560069, ""lat"": 55.685223, ""source"": ""https://yandex.ru/maps/213/moscow/?ll=37.560069,55.685223&mode=search&oid=104367""}, {""lon"": 37.560069, ""lat"": 55.685223, ""source"": ""https://yandex.ru/maps/213/moscow/?ll=37.560069,55.685223&mode=search&oid=104367""}]","ул. Кржижановского, 4А, Москва","Москва, улица Кржижановского, 4А","Школа № 1533 ЛИТ, корпус № 3","[37.560561, 55.681473]","{""country"": ""Россия"", ""locality"": ""Москва"", ""street"": ""улица Кржижановского"", ""house"": ""4А""}","Школа 1533 ЛИТ Школа 1533 ЛИТ выделяется среди других лучших школ тем, что имеет выраженную ИТ специализацию. Большинство физмат школ изучают информатику с точки зрения алгоритмов и математических моделей (спортивное программирование), в то время как ЛИТ большое внимание уделяет и прикладной части ИТ: компьютерному дизайну, графике, цифровой экономике и так далее. Ученики ЛИТа в старших классах участвуют в совместных проектах с известными ИТ компаниями, что, конечно, хорошо, теоретические знания без практического опыта мало что значат. Школа одна из немногих, кто набирает в 3-й класс. Соответственно, конкурс туда значительный. Еще есть конкурсный набор в 3-е матклассы у начальной школы у проекта 2*2, смотрите информацию на их сайте ), хотя, с моей точки зрения, родителям стоит задуматься, не рано ли? У школы три здания. Младшие учатся на улице Кржижановского 4А, занятия в 5–8 классах — на Профсоюзной 24/4, поблизости от метро «Профсоюзная», 9–11 классах занимаются на Ломоносовском проспекте 16, недалеко от метро «Университет». В начальных и средних классах организована модульная система обучения, это позволяет сделать процесс несколько более индивидуальным. В старших классах много времени уделяется проектной работе. Специализация начинается с 9 класса. В 3 — 8 единая программа. В отличие от других топ-школ, до 7 класса пятидневка, при этом количество часов по предметам умеренно, 7 — 8 уроков не бывает. Сложность вступительных испытаний 5 из 10 50% 50% Вступительные испытания в ЛИТ организованы своеобразно. При относительной легкости задач и тестов, дается очень мало времени и при этом высокая требовательность к изложению решений. Экзамены по все предметам проходят в один день. Подробности о поступлении в ЛИТ можно узнать тут . Если у ребенка амбиции на победы в рейтинговых олимпиадах, а в будущем — БВИ и бюджет топовых ВУЗов, то ЛИТ не его выбор. Нужно смотреть в сторону 2007 , Второй школы , 179 или 57 . ЛИТ — не про олимпиады. ЛИТ — про дружный коллектив, качественную учебу с акцентом на IT. Сейчас у школы молодой директор, выпускник ЛИТа, молодая команда учителей. Лицей информационных технологий 1533 заслуженно пользуется большой популярностью у родителей и детей. Для тех, кто ориентирован на разностороннее образование и практический опыт в IT областях — это хороший выбор. Поступление в ЛИТ 1533 Особенности приемной компании, сроки, варианты экзаменов, подготовка Официальный сайт школы Сайт школы Школа на Яндекс картах",,,,,,,
mathex-1580-2,1580-2,Школа 1580,Школа 1580 » Лучшие школы Москвы » © Mathex,Школа 1580 - кузница кадров для МГТУ им. Баумана. Сильная академическая подготовка. Большой набор. » Особенности школы. Поступление в 1580 » . ©Mathex,https://mathex.ru/shkoly/1580-2/,mathex,,[],[],[],,,,,,"Школа 1580 Кузница кадров для МГТУ имени Баумана — вот что такое школа 1580. Больше половины ее выпускников каждый год становятся студентами Бауманки. С учетом того, что в 2019 выпуск 1580 составил 16 одиннадцатых классов, очень много студентов пришло в институт именно из этой школы. Формирование классов и параллелей в школе устроено так. Есть начальная школа, но это всего лишь два класса. Далее, в каждый класс школа 1580 производит конкурсный набор, начиная с пятого и заканчивая одиннадцатым. В результате два четвертых превращаются в 16 одиннадцатых. Школа существенно выросла — еще в 2006 набирались только несколько 10-11 классов. На сегодняшний день выпуском в 16 классов в параллели, из которых почти все конкурсного набора, не может похвастаться ни одна из лучших школ. Например, Вторая школа и 179 выпускают всего по пять классов в год. У школы три корпуса, причем два из них, в том числе основной, находятся на Балаклавском проспекте, в районе метро Варшавская и Чертановская, а третий корпус — гораздо ближе к центру, улица Стасовой д. 8, на Шаболовке. Большая часть 5-8 классов учится в третьем корпусе вместе с начальной школой, а в старших классах переезжает на Балаклавский. Уточняйте при поступлении, так как логистика сильно отличается. Старшие классы — только на Балаклавском проспекте. В 2023 открылась вновь построенное здание школы, получившее название Символ. Здание расположено на г. Москва, ул. Золоторожский Вал, д.11 в ЖК с таким же названием . Школу отдали в управление 1580, что очень хорошо для Символа, но не так просто для 1580 — нужно собрать преподавательский коллектив, интегрировать школу в систему 1580. В Символе есть обещобразовательные классы (по прописке) и лицейские (по конкурсу, как в оснавной 1580). Всвязи со всем этим, конкурс в Символ на 2025 существенно ниже, чем в основную школу, поступить туда легче. В школе 1580 в процессе обучения используется система индивидуальных рейтингов учащихся, зависящая от оценок, успехов на олимпиадах и т.п. Каждый знает свой текущий рейтинг, стремится подняться по ступенькам выше. Соревновательность и конкуренция повышает мотивацию. Классы в школе имеют широкую специализацию, можно сказать «инженерную», заточенную под потребности МГТУ им. Баумана. Кроме физмата, есть информатика, химия, экономика. При обучении, особенно это касается старших классов, активно используются лаборатории, научно образовательные центры и другая инфраструктура Бауманки для практических работ, различных спецкурсов. Сложность вступительных испытаний 5 из 10 50% 50% При поступлении соискатели сдают математику (оценивается по пятибальной системе) и русский язык (зачет/незачет). Массовый регулярный набор в классы, начиная с 5-го — отличный выбор для упорных, мотивированных, усердно готовящихся, но не хватающих с неба звезд (пока) детей. Если не получилось поступить в пятый — можно попробовать в шестой или седьмой в последующие годы. Школа 1580, вероятно, уступает топовым физматшколам на рейтинговых олимпиадах, но является, вне всяких сомнений, сильной школой с серьезной и комплексной подготовкой учеников. Поступление в школу 1580 Особенности приемной компании, сроки, варианты экзаменов, подготовка Официальный сайт школы Школа на Гугл картах",,,,,,,
mathex-intellektual,intellektual,Школа Интеллектуал,Школа Интеллектуал » Лучшие школы Москвы » © Mathex,Школа Интеллектуал - самая необычная из лучших школ. Нестандартная методика обучения. Интернат. » Особенности школы. Поступление в Интеллектуал» . ©Mathex,https://mathex.ru/shkoly/intellektual/,mathex,https://sch-int.ru/,"[""1091053178""]","[""https://yandex.ru/maps/213/moscow/?l=trf&ll=37.477180,55.718381&mode=search&oid=1091053178&ol=biz&sctx=ZAAAAAgBEAAaKAoSCQ45SwMev0JAEVd6bTbW20tAEhIJ23v4/1/fyj8RCHqXJGYZsD8iBQABAgQFKAowADj0rruF2buNqRNAip8BSAFVzczMPlgAagJydXAAnQHNzEw9oAEAqAEAvQEibNWPwgEK+sygiATkqcvTBg==&sll=37.477180,55.718381&sspn=0.104971,0.031443&text=%D1%88%D0%BA%D0%BE%D0%BB%D0%B0%20%D0%B8%D0%BD%D1%82%D0%B5%D0%BB%D0%BB%D0%B5%D0%BA%D1%82%D1%83%D0%B0%D0%BB&z=14%20_blank"", ""https://yandex.ru/maps/213/moscow/?l=trf&ll=37.477180,55.718381&mode=search&oid=1091053178&ol=biz&sctx=ZAAAAAgBEAAaKAoSCQ45SwMev0JAEVd6bTbW20tAEhIJ23v4/1/fyj8RCHqXJGYZsD8iBQABAgQFKAowADj0rruF2buNqRNAip8BSAFVzczMPlgAagJydXAAnQHNzEw9oAEAqAEAvQEibNWPwgEK+sygiATkqcvTBg==&sll=37.477180,55.718381&sspn=0.104971,0.031443&text=%D1%88%D0%BA%D0%BE%D0%BB%D0%B0%20%D0%B8%D0%BD%D1%82%D0%B5%D0%BB%D0%BB%D0%B5%D0%BA%D1%82%D1%83%D0%B0%D0%BB&z=14%20_blank""]","[{""lon"": 37.47718, ""lat"": 55.718381, ""source"": ""https://yandex.ru/maps/213/moscow/?l=trf&ll=37.477180,55.718381&mode=search&oid=""}, {""lon"": 37.47718, ""lat"": 55.718381, ""source"": ""https://yandex.ru/maps/213/moscow/?l=trf&ll=37.477180,55.718381&mode=search&oid=""}]","Кременчугская ул., 11, стр. 4, Москва","Москва, Кременчугская улица, 11, стр. 4",Интеллектуал,"[37.464402, 55.71817]","{""country"": ""Россия"", ""locality"": ""Москва"", ""street"": ""Кременчугская улица"", ""house"": ""11, стр. 4""}","Школа Интеллектуал Школа Интеллектуал – очень нетипичное, я бы сказал удивительное явление на поле Московского среднего образования. Как она может существовать в суровых рамках всеобщей стандартизации Департамента образования Москвы, всяческих ФГОСов и тому подобному, для меня большая загадка. Судите сами: У школы необычный учебный процесс. Разделение на классы (их всего два в параллели) очень условно. В школе есть кафедры, ученики сами выбирают, что им интересно (требования к школьной программе всеобщего образования, само собой, выполняются) Школа условно платная. Нужно платить обязательных ~13 тысяч руб. в месяц за обучение (декларируется, как обучение сверх обязательных часов). Плюс 5 тысяч руб. интернат (если там проживать). Плюс питание, плюс кружки (не все платные, но тем не менее) Школа активно развивает платные кружки для детей «со стороны». В то время как для других это просто небольшое подспорье (например, вечерняя школа в лицее Вторая школа), для Интеллектуала это вполне заметная часть деятельности. Еще несколько лет назад это была, наверное, единственная школа в Москве, набиравшая первый класс по конкурсу, а не по прописке (сейчас, похоже, Интеллектуал окончательно отказался от начальной школы и будет набирать детей начиная с 5-го класса. У школы есть интернат (5 дней в неделю, не работает по выходным), с вполне сносными условиями проживания. Для многих, живущих в отдаленных районах, это хороший выбор. С другой стороны, какая же степень самоорганизации у детей в 12-13 лет должна быть, чтобы учиться, делать домашнюю работу, а не играть на телефоне без сурового родительского ока? Интернат не так популярен сегодня, им пользуются меньше половины учеников. Интеллектуал – очень маленькая школа. Выпуск прошлого ~50 человек. В конце 2017 года школе передали здание на Ярцевской, 10, но оно мало пригодно для обучения, нужен серьезный ремонт. На 2023 год, о новом здании мало что слышно. Возможно, процесс задерживается. Сложность вступительных испытаний 7 из 10 80% 80% Ранней специализации в школе нет, ученики сами могут выбрать направления (кафедры) для углубленного обучения и свой уровень нагрузки. Лишь в старшей школе происходит более четкое разделение на одно из направлений: гуманитарное, физико-математическое, химико-физическое, социально-экономическое или биолого-химическое. Школа декларирует свою «Фишку» — многпредметность. Если школьник хочет быть и экономистом, и математиком, да и социологию знать — Интеллектуал подходящий выбор. В результате последних изменений в правилах расчета рейтинга Департамента образования, школа откатилась очень далеко. При этом, несмотря на небольшое количество учеников, школа Интеллектуал год из года показывает весомы успехи на олимпиадах по абсолютно разным предметам. Школа не стала хуже, просто правила игры изменились. Не верьте рейтингу, Интеллектуал, по-прежнему, сильная, разноплановая и самобытная школа, ориентированная на одаренных детей. Одна из лучших школ Москвы. Поступление в школу Интеллектуал Особенности приемной компании, сроки, варианты экзаменов, подготовка Официальный сайт школы Основной сайт школы Школа на Яндекс картах",,,,,,,
mathex-letovo,letovo,Летово,Летово » Mathex,"Летово - претендент на российский Гарвард. Платная школа, большие степендии. Лучшие учителя и сильные ученики. » Поступление в Летово.» . ©Mathex",https://mathex.ru/shkoly/letovo/,mathex,https://letovo.ru/,"[""239401271523""]","[""https://yandex.ru/maps/213/moscow/?l=trf&ll=37.464706,55.584530&mode=search&oid=239401271523&ol=biz&z=12.09%20_blank"", ""https://yandex.ru/maps/213/moscow/?l=trf&ll=37.464706,55.584530&mode=search&oid=239401271523&ol=biz&z=12.09%20_blank""]","[{""lon"": 37.464706, ""lat"": 55.58453, ""source"": ""https://yandex.ru/maps/213/moscow/?l=trf&ll=37.464706,55.584530&mode=search&oid=""}, {""lon"": 37.464706, ""lat"": 55.58453, ""source"": ""https://yandex.ru/maps/213/moscow/?l=trf&ll=37.464706,55.584530&mode=search&oid=""}]","Москва, Новомосковский административный округ, район Коммунарка, Зимёнковская улица, 3","Москва, Новомосковский административный округ, район Коммунарка, Зимёнковская улица, 3",Летово,"[37.422576, 55.557587]","{""country"": ""Россия"", ""area"": ""район Коммунарка"", ""street"": ""Зимёнковская улица"", ""house"": ""3""}","Летово Все-таки, я решил сделать страничку про школу Летово, хотя это особый случай. Школа частная и школа платная, и еще как платная. Полная стоимость обучения + пансион + питание + все остальное = от 280 тысяч рублей в месяц. Что вы получаете за эти деньги, я не буду описывать — на сайте школы все изложено очень подробно, ни к чему повторяться. Школа позиционируется как некоммерческий проект, то есть 280 тысяч в месяц — это себестоимость обучения одного ученика. При такой цене (а это в четыре раза дороже, чем платное обучение на самом престижном факультете МГИМО и всего лишь в два с половиной раза дешевле, чем полная стоимость обучения и пансиона в Гарварде) эта школа стала бы закрытым клубом для состоятельных родителей и их детей, и не попала бы в мой список. Если бы не одно НО. Создатель школы, миллиардер Мошкович Вадим Николаевич, декларирует очень амбициозную миссию — любой одаренный ребенок имеет возможность получить образование в школе Летово. Был создан фонд (7 млрд. рублей, на 2023 год — уже больше 10 млрд.), из которого спонсируется полностью или частично обучение детей, исходя из финансового положения их семей. Это так называемое full blind admission. На этапе поступления, до сдачи всех вступительных испытаний и решения о зачислении, у родителей не спрашивают, готовы ли они платить и сколько. После поступления финансовое положение семьи оценивается Сбербанком (по аналогии с ипотечным кредитом) и определяется подъемная месячная сумма оплаты. Остальное платит фонд. Без всякого сарказма, это очень крутая и амбициозная миссия, и на сегодня действительно все работает так. Более 85% получают различные стипендии. Размеры стипендий — коммерческая тайна, но родители говорят, что они платят вполне подъемные деньги. Впрочем, никогда не слышал, чтобы оплата было ноль, хотя на сайте говорится, что таких 20%. Прием действительно происходит по результатам экзаменов, и контингент поступивших силен, уже есть успехи на олимпиадах. Летово переманила ряд очень сильных преподавателей из топовых школ (вызвав их сильное недовольство), привлекая их зарплатами и сильными учениками. Победителей олимпиад также активно приглашают в школу, предлагая «особые условия». Вопрос в том, что будет дальше? 10 млрд. рублей — это, конечно, много, но… . Full blind admission себе могут позволить только богатейшие университеты мира. Даже не первая десятка, а самые-самые, из «лиги плюща», например Гарвард. Первый выпуск школы (90 учеников) прошел в 2021 году. В 2023 году школе исполнилось 5 лет. Смотрим за развитием и верим в школу. Фонды Гарварда, 2 035 000 USD на ученика 100% 100% Фонд Летово, 97 000 USD на ученика (после полного набора) 4% 4% Фонд Гарварда ежегодно пополняется многочисленными богатыми выпускниками, получится ли такая модель у Летово? Сколько лет пройдет, пока такие пополнения начнут поступать? Может случиться так, что деньги фонда закончатся, и придется вкладывать еще, или ограничить стипендии учащимся, что немедленно скажется на качестве студентов. Я искренне желаю успехов этому проекту и надеюсь, что все у школы Летово получится, и в будущем она войдет в российскую «лигу плюща» и будет желанным местом для поступления талантов из России и всего мира. Ну а сейчас, пока проект в процессе становления, создает себе имя, ищет таланты — самое время пробовать поступить. Экзамены по математике там вполне по зубам подготовленному школьнику, скорее английский трудно пройти. Заметьте, вступительные испытания начинаются очень рано, в январе, так что о подготовке нужно подумать заранее. Конкурс оочень большой. Поступление в Летово Особенности приемной компании, сроки, варианты экзаменов, подготовка Основной сайт школы Школа на Яндекс картах",,,,,,,
mathex-shkola-1535,shkola-1535,Школа 1535,Школа 1535 » Лучшие школы Москвы » © Mathex,Школа 1535 - одна из лучших школ Москвы широкого профиля. Лидер рейтинга ДепОбра. » Особенности школы. Поступление в 1535 » . ©Mathex,https://mathex.ru/shkoly/shkola-1535/,mathex,"https://yandex.ru/maps/213/moscow/search/1535/?ll=37.563113,55.727962&amp;sctx=ZAAAAAgBEAAaKAoSCamEJ/T6x0JAETpLHLs83UtAEhIJn+JFpTMolj8RbTu0YpR0fD8iBQABAgQFKAowADj14sDG+pyyu0JA3q0HSAFVzczMPlgAagJydXAAnQHNzEw9oAEAqAEAvQHLkMIOwgEKwNTgkASz0/aGBA==&amp;sll=37.563113,55.727962&amp;sspn=0.024855,0.007980&amp;z=16.31",[],"[""https://yandex.ru/maps/213/moscow/search/1535/?ll=37.563113,55.727962&sctx=ZAAAAAgBEAAaKAoSCamEJ/T6x0JAETpLHLs83UtAEhIJn+JFpTMolj8RbTu0YpR0fD8iBQABAgQFKAowADj14sDG+pyyu0JA3q0HSAFVzczMPlgAagJydXAAnQHNzEw9oAEAqAEAvQHLkMIOwgEKwNTgkASz0/aGBA==&sll=37.563113,55.727962&sspn=0.024855,0.007980&z=16.31"", ""https://yandex.ru/maps/213/moscow/search/1535/?ll=37.563113,55.727962&sctx=ZAAAAAgBEAAaKAoSCamEJ/T6x0JAETpLHLs83UtAEhIJn+JFpTMolj8RbTu0YpR0fD8iBQABAgQFKAowADj14sDG+pyyu0JA3q0HSAFVzczMPlgAagJydXAAnQHNzEw9oAEAqAEAvQHLkMIOwgEKwNTgkASz0/aGBA==&sll=37.563113,55.727962&sspn=0.024855,0.007980&z=16.31""]","[{""lon"": 37.563113, ""lat"": 55.727962, ""source"": ""https://yandex.ru/maps/213/moscow/search/1535/?ll=37.563113,55.727962&sctx=ZAAAA""}, {""lon"": 37.563113, ""lat"": 55.727962, ""source"": ""https://yandex.ru/maps/213/moscow/search/1535/?ll=37.563113,55.727962&sctx=ZAAAA""}]",,,,,,"Школа 1535 Школа 1535 многие годы является неизменным лидером рейтинга Департамента Образования, только изредка уступая первое место (с 2019 года Депобр прекратил расставлять школы по местам, публикует только списком, первые двадцать, первые сто и так далее). Начальных классов нет, набор начинается с седьмого класса, но набор массовый: девять седьмых, пять восьмых, по одному девятому и десятому (информация по набору 2019-2020). В результате, с учетом доборов, школа выпускает до 15 классов в параллели, что делает ее одной из самых больших школ с конкурсным набором. 1535 изначально фокусировалась на гуманитарных предметах: истории, филологии, экономике. Традиционно, школа показывает результаты в олимпиадах именно по этим направлениям. В школе преподается много языков, в том числе китайский, японский, латынь. Позже, в школе стали развивать естественно-научные и физико-математические специализации. На 2020 год, можно сказать, что в школе 1535 любой мотивированный ученик сможет найти подходящую специализацию и получить конкурентоспособные баллы на ЕГЭ. У школы два здания, недалеко друг от друга, поблизости метро Спортивная. В здании на улице Усачева учатся физмат, экономические, ИТ и гуманитарные классы, в здании на Малом Саввинском переулке — классы с медицинской, биологической и психологической специализацией. В целом, список специализаций впечатляет (в скобках даны аббревиатуры классов набора на 2020 год): медико-биологическая (МБ) биолого-математичская (МБМ) гуманитарная (РГС) физмат (РФМ) прикладная математика (РМС) биолого-филологическая (МБЛ) без специализации (БС) В 2023 году список специализаций сократился, остались такие: медико-биологическая (МБ) гуманитарная (РГС) прикладная математика (РМС) Впрочем, набирают несколько классов на каждую специализацию. Такая вот оптимизация. Сложность вступительных испытаний 5 из 10 60% 60% В целом, могу сказать, что школа 1535 отличный выбор для тех, кто ищет широкого, основательного, общеобразовательного уровня подготовки для своего ребенка. Возможно, эта школа не для звезд физмата, но сильное комплексное образование там получить можно. Кроме того, 1535 имеет долгую и успешную историю существования и всегда следовала политике Депобра, соблюдая всяческие стандарты, ФГОСы и другие нормы. Таким образом, школа с уверенностью может смотреть в будущее. Поступление в школу 1535 Особенности приемной компании, сроки, варианты экзаменов, подготовка Официальный сайт школы Школа на Яндекс картах",,,,,,,
mathex-shkola-1543,shkola-1543,Школа 1543,Школа 1543 » Лучшие школы Москвы » © Mathex,"Школа 1543 - одна из лучших школ Москвы с уникальной атмосферой, опытным учителями и внеклассной жизнью. » Особенности школы. Поступление 1543» . ©Mathex",https://mathex.ru/shkoly/shkola-1543/,mathex,http://www.1543.ru/,[],[],[],,,,,,"Школа 1543 Школа 1543 имеет свое неповторимое лицо и дух, во многом определенные ее бессменным с 1975 года директором – Юрием Владимировичем Завельским. К сожалению, он ушел на пенсию в 2019 году, возраст берет свое. Чтобы понять, что за школу он создал, советую посмотреть вот это интервью . Май 2021: Юрия Владимировича не стало… Как много великих ушло за прошедшие два года, тех, кто стоял у истоков… RIP. Из всех топ школ, 1543, наверное, наименее математическая (но призы на олимпиадах по математике, тем не менее, берет регулярно). В школе акцент – на гармоничное и всестороннее развитие ребенка. Всяческие театральные представления, капустники, интеллектуальные марафоны, общешкольная ярмарка, вообще, все, что связанно с творчеством и с коллективной работой — в школе в почете. Наряду с школой Интеллектуал , 1543 — сильнейшая многопредметная школа в Московском образовании. Отдельно, среди сильных предметов, хотел бы отметить биологию и литературу. Математика в школе всегда была на высоком уровне. Всем известный в матобразовании «продвинутый» школьный задачник по математике написан Борисом Петровичем Гейдманом — основателем кафедры математики в школе 1543. Однако, по моему субъективному мнению, последние годы математике в школе уделяют меньше внимания. Можно сказать, что школа устояла перед натиском модных медиа технологий и компьютерного сленга. Это, конечно, не значит, что там тексты на пишущей машинке печатают – школа вполне современная, с новой пристройкой 2015 года, хорошо оборудованная. Кроме грантов Москвы, получает помощь от своих выпускников. Школа 1543 набирает 4 пятых класса. Специализации на этапе приема нет до 8-го класса, когда классы поделятся на историко-филологическое (литература, русский язык, история), биологическое (биология, химия, математика), математическое (математика, физика, основы информатики) и физико-химическое (физика, химия, математика). До этого времени все предметы равны и одинаково важны, программа обучения для всех одна. UPDATE 2024: В школе появился набор в математический 5 класс! Видимо все таки чувствовали проседание по математике… В этот класс специальный отдельный набор и отдельные вступительные испытания. Подробности уточняйте в школе. Особый подход к образовательному процессу делает весь коллектив – и учителей и учеников единым целым, одной командой. Среди топ школ Москвы много таких, где классы индивидуальны, живут своей жизнью, сильна внутренняя конкуренция – все это не про 1543. Сложность вступительных испытаний 6,5 из 10 65% 65% Замечу, что экзамен по русскому языку тоже высокой сложности, и также важен, как математика. За каждый из экзаменов максимум 50 баллов, но есть слухи, что при прочих равных русский главнее. Это не тест, не диктант, это своеобразное изложение, что для четвероклассников сильный вызов. О проблемах: Уход Завельского – это серьезное испытание, ничуть не меньшее, чем уход Овчинникова из Второй школы. Новый директор, Боков Павел Юрьевич, выпускник физфака МГУ, кажется, полон решимости сохранить и приумножить успехи школы, время покажет. Школа 1543 несколько раз отбивалась от присоединения соседней школы 1723 и превращения в холдинг. Отбиться удалось, 1723 присоединили к другой школе. Но, по моему мнению, новые попытки превратить 1543 в холдинг еще впереди. Поступление в школу 1543 Особенности приемной компании, сроки, варианты экзаменов, подготовка Официальный сайт школы Сайт школы Школа на Яндекс картах",,,,,,,
mathex-skola-179,skola-179,Школа 179,Школа 179 » Лучшие школы Москвы » © Mathex,"179 школа - гранд физмат образования в Москве, мечта многих детей и родителей. » Особенности школы. Поступление в 179 школу » © Mathex",https://mathex.ru/shkoly/skola-179/,mathex,https://www.179.ru/,"[""1048812024""]","[""https://yandex.ru/maps/org/gbou_shkola_179/1048812024/?ll=37.614717,55.759651&z=18"", ""https://yandex.ru/maps/org/gbou_shkola_179/1048812024/?ll=37.614717,55.759651&z=18""]","[{""lon"": 37.614717, ""lat"": 55.759651, ""source"": ""https://yandex.ru/maps/org/gbou_shkola_179/1048812024/?ll=37.614717,55.759651&z=""}, {""lon"": 37.614717, ""lat"": 55.759651, ""source"": ""https://yandex.ru/maps/org/gbou_shkola_179/1048812024/?ll=37.614717,55.759651&z=""}]","ул. Большая Дмитровка, 5/6с7, Москва","Москва, улица Большая Дмитровка, 5/6с7",Школа № 179,"[37.614679, 55.759642]","{""country"": ""Россия"", ""locality"": ""Москва"", ""street"": ""улица Большая Дмитровка"", ""house"": ""5/6с7""}","Школа 179 179 школа расположена в самом-самом центре, из окон видны звезды Кремля. 5 минут от Театральной и Охотного ряда – в школу удобно добираться практически из всех районов Москвы. Школа 179 – только для старшеклассников, начальной школы нет. Набирает один инженерный 6 класс (Update 2022 — уже нет, класс переехал в ЦПМ), по одному 7-му, 8-му и 9-му математических класса, и еще 9-й биолого-математический, то есть в параллели к выпуску всего 5 классов. В школе великое множество преподавателей, больше 100, но многие из них работает по совместительству, есть преподаватели из 57 и других школ. Школу часто называют «школой Константинова». Николай Николаевич Константинов, один из виднейших деятелей математического образования, в 70-е годы создавал методику обучения, применяемую в школе до сих пор. Н.Н. Константинов продолжает курировать школу, хоть и не является ее директором. Июль 2021: Николая Николаевича не стало, COVID. Так печально, когда уходят люди, стоявшие у истоков российского образования. RIP. . Интересно, что классы в одной параллели живут своей жизнью – учатся по своим программам и мало общаются между собой. Переход из класса в класс в общем случае невозможен – только поступить на общих основаниях. Руководители набора — те, кто будут вести класс от поступления и до выпуска, определяют программу и методики обучения, известны заранее, до начала приемной компании. При всем при этом школа продолжает быть единым целым — коллективом, средой общения, со своими традициями и ценностями. Приемная компания в школе, вероятно, самая тяжелая и долгосрочная среди лучших школ Москвы. Множество письменных и устных этапов, с отсевом на каждом, начиная с марта и заканчивая в мае. Подробнее об этом тут . Сложность вступительных испытаний 9 из 10 90% 90% 179 школа известна своим особым отношением к математическому анализу (или матану, его обычно начинают преподавать в университете). Этот предмет очень уважаем, на нем делается акцент. Для выпускников школы 179 первый курс института по математике — семечки. Информатика тоже в почете – много домашней работы, причем списать не получится. Если будут замечены аналогичные коды (а они будут замечены), оба нарушителя получат двойку. Школа 179 для: а) способных (другие туда и не попадут) и б) мотивированных детей. Потеря мотивации по тем или иным причинам легко приводит к отчислению, в школе с этим не церемонятся. До выпуска доживают далеко не все. Вне всякого сомнения, школа 179 относится к элитной части лучших математических школ Москвы. Поступить очень трудно, учиться тоже очень трудно. При всем этом, очень немногие из учеников допускают даже намек на мысль о том, чтобы уйти по собственному желанию. Уникальный коллектив, уникальный дух, уникальная мотивация. Поступление в школу 179 Особенности приемной компании, сроки, варианты экзаменов, подготовка Официальный сайт школы Сайт выпускников школы 179 Школа на Яндекс картах",,,,,,,
